No.,Longitude,Latitude,TIME,Serving PCI,Serving RSRP,Serving DL EARFCN,PCC SINR,PDCP Throughput DL,PDCP Throughput UL,0st PCI in Detected Cells,1st PCI in Detected Cells,2st PCI in Detected Cells,3st PCI in Detected Cells,4st PCI in Detected Cells,5st PCI in Detected Cells,0st RSRP in Detected Cells,1st RSRP in Detected Cells,2st RSRP in Detected Cells,3st RSRP in Detected Cells,4st RSRP in Detected Cells,5st RSRP in Detected Cells,0st EARFCN in Detected Cells,1st EARFCN in Detected Cells,2st EARFCN in Detected Cells,3st EARFCN in Detected Cells,4st EARFCN in Detected Cells,5st EARFCN in Detected Cells
1,116.417595,39.830166,2017-07-21 10:03:50.279,139,-86.625,37900,14,,,74,,,,,,-92.5,,,,,,37900,,,,,
2,116.41761,39.830162,2017-07-21 10:03:51.562,139,-89,37900,9.3,,,74,,,,,,-95.187,,,,,,37900,,,,,
3,116.417625,39.830166,2017-07-21 10:03:52.845,139,-86.812,37900,19.8,,,74,,,,,,-92.562,,,,,,37900,,,,,
4,116.417625,39.830173,2017-07-21 10:03:54.117,139,-87,37900,20.1,,,74,,,,,,-90.5,,,,,,37900,,,,,
5,116.417641,39.830166,2017-07-21 10:03:55.398,139,-87.437,37900,11.5,,,74,,,,,,-92.062,,,,,,37900,,,,,
6,116.417679,39.830158,2017-07-21 10:03:56.597,139,-87.875,37900,19.9,,,74,,,,,,-91.437,,,,,,37900,,,,,
7,116.417656,39.830158,2017-07-21 10:03:57.958,139,-87.687,37900,14.1,,,74,,,,,,-96,,,,,,37900,,,,,
8,116.417656,39.830158,2017-07-21 10:03:59.241,139,-88.5,37900,20.7,,,74,,,,,,-91.937,,,,,,37900,,,,,
9,116.417641,39.830158,2017-07-21 10:04:00.518,139,-89.687,37900,10,,,74,,,,,,-93.312,,,,,,37900,,,,,
10,116.417641,39.830158,2017-07-21 10:04:01.112,139,-92.312,37900,8.9,,,74,,,,,,-91.437,,,,,,37900,,,,,
11,116.417641,39.830158,2017-07-21 10:04:01.542,139,-89.687,37900,10.7,,,74,,,,,,-90.187,,,,,,37900,,,,,
12,116.417641,39.830158,2017-07-21 10:04:01.959,139,-88.125,37900,14.6,,,74,,,,,,-93.875,,,,,,37900,,,,,
13,116.417625,39.830162,2017-07-21 10:04:02.160,139,-87.75,37900,14.1,,,74,,,,,,-90.125,,,,,,37900,,,,,
14,116.417625,39.830162,2017-07-21 10:04:02.365,139,-87.75,37900,14.1,,,74,,,,,,-90.75,,,,,,37900,,,,,
15,116.417625,39.830162,2017-07-21 10:04:02.785,139,-90.562,37900,12.6,,,74,,,,,,-94.562,,,,,,37900,,,,,
16,116.417625,39.830162,2017-07-21 10:04:03.206,139,-89.937,37900,15,0.379,0.02,74,,,,,,-94.312,,,,,,37900,,,,,
17,116.417625,39.830162,2017-07-21 10:04:03.233,139,-90.812,37900,17.1,0.379,0.02,74,138,301,,,,-91.812,-99.687,-101.5,,,,38098,38098,38098,,,
18,116.417625,39.830162,2017-07-21 10:04:03.645,139,-90.812,37900,17.1,0.379,0.02,74,,,,,,-93.625,,,,,,37900,,,,,
19,116.417625,39.830162,2017-07-21 10:04:04.030,139,-92.625,37900,12.7,0.379,0.02,74,,,,,,-99.062,,,,,,37900,,,,,
20,116.41761,39.830166,2017-07-21 10:04:04.097,139,-90.5,37900,15.3,0.379,0.02,74,,,,,,-103.625,,,,,,37900,,,,,
21,116.41761,39.830166,2017-07-21 10:04:04.498,139,-90.437,37900,17.2,0.379,0.02,74,,,,,,-102,,,,,,37900,,,,,
22,116.41761,39.830166,2017-07-21 10:04:04.949,139,-90.187,37900,17.6,0,0,182,141,142,,,,-104.125,-112.375,-113.562,,,,40936,40936,40936,,,
23,116.417595,39.830181,2017-07-21 10:04:05.346,139,-90.062,37900,15.399,0,0,74,,,,,,-97.812,,,,,,37900,,,,,
24,116.417595,39.830181,2017-07-21 10:04:05.773,139,-89.312,37900,23.5,0.01,0.005,74,,,,,,-98.25,,,,,,37900,,,,,
25,116.41758,39.830185,2017-07-21 10:04:06.189,139,-92.875,37900,13.899,0.01,0.005,74,,,,,,-98.937,,,,,,37900,,,,,
26,116.41758,39.830185,2017-07-21 10:04:06.625,139,-91.25,37900,16.3,0.01,0.005,74,,,,,,-93.437,,,,,,37900,,,,,
27,116.41758,39.830185,2017-07-21 10:04:07.007,139,-96.437,37900,12.3,0.01,0.005,74,,,,,,-95.312,,,,,,37900,,,,,
28,116.417564,39.830189,2017-07-21 10:04:07.388,139,-92.812,37900,15.899,0.054,0.009,74,,,,,,-96.187,,,,,,37900,,,,,
29,116.417564,39.830189,2017-07-21 10:04:07.640,139,-87.937,37900,21.7,0.054,0.009,74,,,,,,-99.062,,,,,,37900,,,,,
30,116.417564,39.830189,2017-07-21 10:04:07.846,139,-87.937,37900,21.7,0.054,0.009,74,,,,,,-97,,,,,,37900,,,,,
31,116.417564,39.830189,2017-07-21 10:04:08.355,139,-89.562,37900,15.8,0.054,0.009,74,,,,,,-98.5,,,,,,37900,,,,,
32,116.417564,39.830189,2017-07-21 10:04:08.757,139,-90.437,37900,16.5,0.054,0.009,74,,,,,,-97.187,,,,,,37900,,,,,
33,116.417564,39.830189,2017-07-21 10:04:08.790,139,-87.875,37900,17.5,0.054,0.009,182,141,,,,,-103.187,-109.375,,,,,40936,40936,,,,
34,116.417564,39.830189,2017-07-21 10:04:09.207,139,-88.5,37900,24.1,0.444,0.009,74,,,,,,-96.875,,,,,,37900,,,,,
35,116.41758,39.830189,2017-07-21 10:04:09.623,139,-89.75,37900,20.1,0.444,0.009,74,,,,,,-97.125,,,,,,37900,,,,,
36,116.41758,39.830189,2017-07-21 10:04:10.089,139,-90.812,37900,19.6,0.444,0.009,74,,,,,,-96.875,,,,,,37900,,,,,
37,116.41758,39.830189,2017-07-21 10:04:10.574,139,-90.312,37900,14.8,0.004,0.024,74,,,,,,-96.437,,,,,,37900,,,,,
38,116.41758,39.830189,2017-07-21 10:04:10.994,139,-90.125,37900,19.9,0.004,0.024,74,,,,,,-98.375,,,,,,37900,,,,,
